Original,Asset ID,ISRC,Title,Custom ID,UPC,Artist,Genre,Ownership,Ratio,Match Policy,,Refrence File
SEYRO0900504,sUCXRqFXsWk,SEYRO0900504,"Hate to Love (feat. Evi) [Nervo Radio Edit]",none,3610150196019,"Alex Sayz",Dance & Electronic,"Believe-100&Believe,WMG-100,100","Believe-include&Believe,WMG-include,include",,"BV&SJ",TRUE
SEYRO0900502,gkx9_dWdpNQ,SEYRO0900502,"Hate to Love (feat. Evi) [Original Extended]",none,3610150196019,"Alex Sayz",Dance & Electronic,"Believe-100&Believe,WMG-100,100","Believe-include&Believe,WMG-include,include",,"BV&SJ",TRUE
SEYRO0900506,yAcYUIniJpA,SEYRO0900506,"ALEX SAYZ feat EVI \"Hate To Love\"",none,none,"none",none,"WMG-100","WMG-exclude",,"",TRUE
SEYRO0900506,gzYyePWD8Zw,SEYRO0900506,"Hate to Love (feat. Evi) [Andy Harding Remix]",none,3610150196019,"Alex Sayz",Dance & Electronic,"Believe-100&Believe,WMG-100,100","Believe-include&Believe,WMG-include,include",,"SJ&BV",TRUE
SEYRO0900507,yfHWcMBQ-dw,SEYRO0900507,"Hate to Love (feat. Evi) [Alex Lamb Remix]",none,3610150196019,"Alex Sayz",Dance & Electronic,"Believe-100&Believe,WMG-100,100","Believe-include&Believe,WMG-include,include",,"BV&SJ",TRUE
SEYRO0900508,WraL9yaO7VY,SEYRO0900508,"Hate to Love (feat. Evi) [Spectre Remix]",none,3610150196019,"Alex Sayz",Dance & Electronic,"Believe-100&Believe,WMG-100,100","Believe-include&Believe,WMG-include,include",,"SJ&BV",TRUE
SEYRO0900503,Y_stmJ4I39Y,SEYRO0900503,"Love To Hate",none,none,"Alex Sayz feat. Evi",none,"WMG-100","WMG-include",,"",TRUE
SEYRO0900204,A607740533501389,SEYRO0900204,"Shame On Me (Summer Radio Edit) (Summer Radio Edit)",none,0885014002185,"Alex Sayz featuring Lawrence Alexander",Dance & Electronic,"KontorNewMedia-100","KontorNewMedia-include",,"",TRUE
SEYRO0900204,A250662422306923,SEYRO0900204,"Shame On Me (Summer Radio Edit) (Summer Radio Edit)",none,0885014002185,"Alex Sayz featuring Lawrence Alexander",Dance & Electronic,"","",,"",no status
SEYRO0900206,A941679038365794,SEYRO0900206,"Shame On Me (Andy Harding Radio Edit) (Andy Harding Radio Edit)",none,0885014002185,"Alex Sayz featuring Lawrence Alexander",Dance & Electronic,"KontorNewMedia-100","KontorNewMedia-include",,"",TRUE
SEYRO0900206,A313167096546084,SEYRO0900206,"Shame On Me (Andy Harding Radio Edit) (Andy Harding Radio Edit)",none,0885014002185,"Alex Sayz featuring Lawrence Alexander",Dance & Electronic,"","",,"",no status
SEYRO0900201,A246947553198702,SEYRO0900201,"Shame On Me (feat. Lawrence Alexander)",none,none,"Alex Sayz",none,"KontorNewMedia-100&KontorNewMedia,WMG-100,100","KontorNewMedia-include&KontorNewMedia,WMG-include,include",,"",TRUE
SEYRO0900505,JMTtvmKUj30,SEYRO0900505,"Hate to Love (feat. Evi) [Nervo Remix]",none,3610150196019,"Alex Sayz",Dance & Electronic,"Believe-100&Believe,WMG-100,100","Believe-include&Believe,WMG-include,include",,"BV&SJ",TRUE
SEYRO0900207,A346331085510349,SEYRO0900207,"Shame On Me (Andy Harding Alt. Edit) (Andy Harding Alternative Radio Edit)",none,0885014002185,"Alex Sayz featuring Lawrence Alexander",Dance & Electronic,"","",,"",TRUE
SEYRO0900205,A453411964897322,SEYRO0900205,"Shame On Me (Summer Remix) (Summer Remix)",none,0885014002185,"Alex Sayz featuring Lawrence Alexander",Dance & Electronic,"KontorNewMedia-100","KontorNewMedia-include",,"",TRUE
SEYRO0900205,A540288233409701,SEYRO0900205,"Shame On Me (Summer Remix) (Summer Remix)",none,0885014002185,"Alex Sayz featuring Lawrence Alexander",Dance & Electronic,"","",,"",no status
SEYRO0900202,A418673057215269,SEYRO0900202,"Shame On Me (Original MIx) (Original Mix)",none,0885014002185,"Alex Sayz featuring Lawrence Alexander",Dance & Electronic,"KontorNewMedia-100","KontorNewMedia-include",,"",TRUE
SEYRO0900202,A134710538761275,SEYRO0900202,"Shame On Me (Original MIx) (Original Mix)",none,0885014002185,"Alex Sayz featuring Lawrence Alexander",Dance & Electronic,"","",,"",no status
SEYRO0900208,A907266173733250,SEYRO0900208,"Shame On Me (Andy Harding Remix) (Andy Harding Remix)",none,0885014002185,"Alex Sayz featuring Lawrence Alexander",Dance & Electronic,"","",,"",no status
SEYRO0900208,A629629760804084,SEYRO0900208,"Shame On Me (Andy Harding Remix) (Andy Harding Remix)",none,0885014002185,"Alex Sayz featuring Lawrence Alexander",Dance & Electronic,"KontorNewMedia-100","KontorNewMedia-include",,"",TRUE
SEYRO0900209,A415501797552696,SEYRO0900209,"Shame On Me (Alaa Remix) (Alaa Remix)",none,0885014002185,"Alex Sayz featuring Lawrence Alexander",Dance & Electronic,"","",,"",no status
SEYRO0900209,A801223346049923,SEYRO0900209,"Shame On Me (Alaa Remix) (Alaa Remix)",none,0885014002185,"Alex Sayz featuring Lawrence Alexander",Dance & Electronic,"KontorNewMedia-100","KontorNewMedia-include",,"",TRUE
SEYRO0900203,A231161039884040,SEYRO0900203,"Shame On Me (Original Dub Mix) (Original Dub Mix)",none,0885014002185,"Alex Sayz featuring Lawrence Alexander",Dance & Electronic,"","",,"",TRUE
SEYRO0900210,A413410385348614,SEYRO0900210,"Shame On Me (Alaa Dub Mix) (Alaa Dub Mix)",none,0885014002185,"Alex Sayz featuring Lawrence Alexander",Dance & Electronic,"","",,"",no status
NLC280810381,OScbVxqbrhs,NLC280810381,"Close 2 Me (Radio Mix)",none,7897850504726,"Captcha",Dance & Electronic,"UMG-100&UMG,KontorNewMedia-100,100","UMG-include&UMG,KontorNewMedia-include,include",,"",TRUE
SEYRO0900210,A815852084760684,SEYRO0900210,"Shame On Me (Alaa Dub Mix) (Alaa Dub Mix)",none,0885014002185,"Alex Sayz featuring Lawrence Alexander",Dance & Electronic,"KontorNewMedia-100","KontorNewMedia-include",,"",TRUE
NLC280810382,wShWT_pS0hY,NLC280810382,"Close 2 Me",none,00602517975057,"Captcha",none,"NATOarts-100","NATOarts-exclude",,"",TRUE
NLC280810383,h_7dUlGB4T0,NLC280810383,"Close 2 Me",none,00602517975057,"Captcha",none,"UMG-100","UMG-include",,"",TRUE
NLC280810385,qIS4QYs2lWY,NLC280810385,"Close 2 Me",none,00602517975057,"Captcha",none,"UMG-100","UMG-include",,"",TRUE
GBVPF0800001,zyYhti-iHyU,GBVPF0800001,"I Want It",none,none,"Chanelle Hayes",none,"","",,"",
ITC630900059,F6Qw17ZUupg,ITC630900059,"The Radio (H Boogie) [Get Far & Paolo Sandrini Edit]",none,8032632251293,"Get Far Feat. H. Boogie",Dance & Electronic,"ArtistFirst-100&ArtistFirst,KontorNewMedia-100,100","ArtistFirst-exclude&ArtistFirst,KontorNewMedia-exclude,include",,"",TRUE
ITC630900060,1T9kpTJz7Z8,ITC630900060,"The Radio (feat. H Boogie) [Get Far & Paolo Sandrini Mix]",none,8032632251293,"Get Far",Dance & Electronic,"ArtistFirst-100","ArtistFirst-exclude",,"",TRUE
ITC630900205,A424133849068834,ITC630900205,"The Radio (feat. H Boogie) [Alex Gaudino & Jason Rooney Remix]",none,8032632251293,"Get Far",Dance & Electronic,"ArtistFirst-100","ArtistFirst-exclude",,"",TRUE
ITC630900161,A624973120135135,ITC630900161,"The Radio",none,none,"Get-Far",none,"","",,"",
