Original,Asset ID,ISRC,Title,Custom ID,UPC,Artist,Album,Genre,Ownership,Ratio,Match Policy,Refrence File
US2S70444019,A908954433119482,US2S70444019,"Lost Lust",none,659457204426,"Beat Conductor",Peanut Butter Wolf's Jukebox 45's,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70444020,A661612063760303,US2S70444020,"Mystic Brew Interlude",none,659457204426,"Yesterday's New Quintet",Peanut Butter Wolf's Jukebox 45's,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70444021,A674476374091075,US2S70444021,"Knucklehead",none,659457204426,"Yesterday's New Quintet",Peanut Butter Wolf's Jukebox 45's,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70444022,A175032336282054,US2S70444022,"On Point",none,659457204426,"Lootpack",Peanut Butter Wolf's Jukebox 45's,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70458001,A902184390618279,US2S70458001,"Junkman's Song",none,659457205829,"Stark Reality",Now,R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70458002,A729887630342189,US2S70458002,"Thirty Days Hath September",none,659457205829,"Stark Reality",Now,R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70458003,A733135913969307,US2S70458003,"Cooking",none,659457205829,"Stark Reality",Now,R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70458004,A440438324580626,US2S70458004,"Comrades",none,881034747136,"Stark Reality",Stones Throw : 10 Years,R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70458005,A341423739625604,US2S70458005,"Shooting Stars",none,659457205829,"Stark Reality",Now,R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70458006,A273400588547478,US2S70458006,"Rocket Ship",none,659457205829,"Stark Reality",Now,R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70458007,zRofAd_WZm0,US2S70458007,"Dreams",none,659457205829,"Stark Reality",Now,R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70458008,A456547199800919,US2S70458008,"All You Need To Make Music",none,659457205829,"Stark Reality",Now,R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
