Original,Asset ID,ISRC,Title,Custom ID,UPC,Artist,Genre,Ownership,Ratio,Match Policy,,Refrence File
TCABI1251002,A215654505938606,TCABI1251002,"Hermano - Brueder (Radio)",none,none,"Kairal feat. Offerus + Tamo",none,"","",,"",no status
TCABI1251008,A575821341511474,TCABI1251008,"Hermano - Brueder +Audio Extra",none,none,"Kairal feat. Offerus + Tamo",none,"","",,"",no status
TCABN1364779,A663984497147809,TCABN1364779,"Higher Call",none,none,"Kairal & Friends",none,"","",,"",no status
TCABS1376057,A870611950639684,TCABS1376057,"Hit Man",none,none,"L.S.D Kairal",none,"","",,"",no status
TCABS1382018,A545433397296762,TCABS1382018,"Holy Dogs",none,none,"L.S.D Kairal",none,"","",,"",no status
TCABM1371445,A310923414341840,TCABM1371445,"Hör Auf !",none,859709731179,"24 Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABO1375590,A246435755702503,TCABO1375590,"I, Robot",none,859710262242,"Kairal Tribut",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABD1268286,A661186237942161,TCABD1268286,"I'M Not In Love",none,none,"The Ping? Sisters",none,"","",,"",no status
TCABI1289564,A432218953639415,TCABI1289564,"In Den Kampf 1",none,none,"Kairal",none,"","",,"",no status
TCABN1381950,Item not in CMS
TCABL1384440,A409734800576242,TCABL1384440,"In Den Kampf 2.0",none,none,"24 : Kairal",none,"","",,"",no status
TCABU1488600,A714659701625730,TCABU1488600,"In the Middle of Something",none,859712243744,"Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABI1260447,A747606829270521,TCABI1260447,"Isï¿œYourï¿œLoveï¿œDead",none,none,"24 : Kairal",none,"","",,"",no status
TCABU1488587,A220654452865398,TCABU1488587,"Is Your Love Dead",none,859712243744,"Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABL1365178,A747090195220028,TCABL1365178,"Ja Yen  -Go Down the River) [feat. Father & Son]",none,859709473406,"-Kairal)",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABR1390819,A500289399660682,TCABR1390819,"Jesus Reloaded (Part 3)",none,859711589102,"Kairal & Friends",Alternative & Punk,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABJ1291510,Item not in CMS
TCABA1157515,A846420113632056,TCABA1157515,"Jovincy",none,none,"Kairal",none,"","",,"",no status
TCABA1148678,A301091066084666,TCABA1148678,"Julianne77",none,none,"Kairal",none,"","",,"",no status
TCABM1365883,A516532293159736,TCABM1365883,"K112",none,859709718750,"24 : Kairal",Alternative & Punk,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABL1373028,A739704787816145,TCABL1373028,"K112 Leuchturm",none,none,"Kairal",none,"","",,"",no status
TCABW1408811,A201178413181310,TCABW1408811,"Kaffeine",none,none,"Kairal",none,"","",,"",no status
TCABJ1226545,A840263744039597,TCABJ1226545,"● Kairal Avenger (feat. Kairal Tribut)",none,859708924732,"Budokhan",Alternative & Punk,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABM1355605,A129213480079796,TCABM1355605,"Kakadu Song",none,none,"Kairal",none,"","",,"",no status
TCABL1387832,A102740350737779,TCABL1387832,"Keine Leichte Keule",none,none,"Kairal",none,"","",,"",no status
TCABN1347589,A531751544866026,TCABN1347589,"Kinda Seasick (feat. Venudia)",none,859709928524,"Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABO1341803,A375543661053800,TCABO1341803,"∵Knowing",none,859710174705,"24 Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABL1388996,A606748485356287,TCABL1388996,"Kommt Schon -!",none,859709530499,"The Rols",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABW1402496,A625943516251138,TCABW1402496,"Krieger",none,859712291660,"Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABT1406954,A614252826689246,TCABT1406954,"Latin Love",none,none,"Kairal & Friends",none,"","",,"",no status
TCABM1386358,A768016812242323,TCABM1386358,"Latin Love (feat. Kairal)",none,859709771335,"J-J-X",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABW1408812,A121788361178830,TCABW1408812,"Lazarus Gift",none,none,"Kairal",none,"","",,"",no status
TCABT1401128,A342403108902660,TCABT1401128,"Lichtmaschine F/101",none,859711871238,"Kairal",Alternative & Punk,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABS1493467,A336155210149188,TCABS1493467,"Lion Live",none,859711851933,"Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABM1319221,A463478944345886,TCABM1319221,"Lonely People (feat. Venudia)",none,859709605050,"Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCAAU1155254,A421349083553712,TCAAU1155254,"Long Dark Night of the Soul (From the Soundtrack: Earth Under Pandora)",none,859705298584,"Mikel Oldfield",Country & Folk,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABB1132226,A734030460560350,TCABB1132226,"Long Way Home",none,none,"Kairal",none,"","",,"",no status
TCABU1488594,A166543890160342,TCABU1488594,"Lost in Gedanken",none,859712243744,"Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABU1488612,A347138171185270,TCABU1488612,"Love Comes Without Warning",none,859712243744,"Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCAAT1079685,A615570311418420,TCAAT1079685,"Love Comes Without Warning And Makes Whammm!",none,none,"Kairal",none,"","",,"",no status
TCABE1292108,A146913561673000,TCABE1292108,"Love Hurts",none,none,"Katie Leningrad",none,"","",,"",no status
TCABA1194223,A123663616660318,TCABA1194223,"Lulu",none,none,"Kairal",none,"","",,"",no status
TCABD1245783,A474336302810120,TCABD1245783,"Mad Men",none,none,"Shakir Armstrong",none,"","",,"",no status
TCABP1303746,A533557968925107,TCABP1303746,"Man in Between",none,859710878535,"24 Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABU1441308,Item not in CMS
TCABB1130815,A206612752342257,TCABB1130815,"Maria On Fire",none,none,"Kairal",none,"","",,"",no status
TCABU1441323,Item not in CMS
TCABS1499209,A820651193571147,TCABS1499209,"Mister  Lichtblick",none,none,"24 Kairal",none,"","",,"",no status
TCABP1312372,A959734467883040,TCABP1312372,"Mister ⁝ Lichtblick",none,859710900175,"Kairal Tribut",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
